# Parker model for solar wind
# Parker E N. Dynamics of the Interplanetary Gas and Magnetic Fields // ApJ 128:664 (1958)
# ADS URL: https://ui.adsabs.harvard.edu/abs/1958ApJ...128..664P
#
# Columns
# -------
#
# T = 0.5e6 K
#  0: r [cm]
#  1: N [cm^{-3}]
#  2: v [cm s^{-1}]
#
# T = 0.75e6 K
#  3:r, 4:N, 5:v
#
# T = 1e6 K
#  6:r, 7:N, 8:v
#
# T = 1.5e6 K
#  9:r, 10:N, 11:v
#
# T = 2e6 K
#  12:r, 13:N, 14:v
#
# T = 3e6 K
#  15:r, 16:N, 17:v
#
# T = 4e6 K
#  18:r, 19:N, 20:v
#
3.04e+12;3.22e+02;2.03e+07;2.44e+12;5.03e+02;2.65e+07;2.08e+12;6.91e+02;3.19e+07;1.67e+12;1.08e+03;4.13e+07;1.43e+12;1.47e+03;4.94e+07;1.14e+12;2.29e+03;6.35e+07;9.77e+11;3.14e+03;7.56e+07
3.13e+12;3.00e+02;2.05e+07;2.52e+12;4.66e+02;2.68e+07;2.16e+12;6.35e+02;3.22e+07;1.74e+12;9.81e+02;4.17e+07;1.49e+12;1.34e+03;5.00e+07;1.20e+12;2.06e+03;6.42e+07;1.03e+12;2.80e+03;7.65e+07
3.22e+12;2.80e+02;2.07e+07;2.60e+12;4.31e+02;2.71e+07;2.24e+12;5.84e+02;3.26e+07;1.81e+12;8.94e+02;4.22e+07;1.56e+12;1.21e+03;5.06e+07;1.26e+12;1.85e+03;6.49e+07;1.08e+12;2.50e+03;7.74e+07
3.32e+12;2.61e+02;2.09e+07;2.69e+12;3.98e+02;2.74e+07;2.32e+12;5.37e+02;3.30e+07;1.88e+12;8.15e+02;4.27e+07;1.63e+12;1.10e+03;5.11e+07;1.32e+12;1.66e+03;6.57e+07;1.14e+12;2.24e+03;7.82e+07
3.42e+12;2.44e+02;2.11e+07;2.79e+12;3.68e+02;2.76e+07;2.41e+12;4.93e+02;3.33e+07;1.96e+12;7.44e+02;4.31e+07;1.70e+12;9.94e+02;5.17e+07;1.38e+12;1.50e+03;6.64e+07;1.20e+12;2.00e+03;7.91e+07
3.52e+12;2.27e+02;2.14e+07;2.88e+12;3.41e+02;2.79e+07;2.50e+12;4.54e+02;3.37e+07;2.04e+12;6.78e+02;4.36e+07;1.77e+12;9.02e+02;5.22e+07;1.45e+12;1.35e+03;6.71e+07;1.26e+12;1.79e+03;8.00e+07
3.63e+12;2.12e+02;2.16e+07;2.98e+12;3.16e+02;2.82e+07;2.59e+12;4.18e+02;3.40e+07;2.13e+12;6.19e+02;4.41e+07;1.85e+12;8.18e+02;5.28e+07;1.52e+12;1.21e+03;6.78e+07;1.32e+12;1.60e+03;8.08e+07
3.74e+12;1.98e+02;2.18e+07;3.08e+12;2.92e+02;2.85e+07;2.69e+12;3.84e+02;3.44e+07;2.22e+12;5.65e+02;4.45e+07;1.93e+12;7.42e+02;5.33e+07;1.60e+12;1.09e+03;6.85e+07;1.39e+12;1.43e+03;8.17e+07
3.85e+12;1.85e+02;2.20e+07;3.19e+12;2.70e+02;2.88e+07;2.79e+12;3.54e+02;3.47e+07;2.31e+12;5.15e+02;4.50e+07;2.02e+12;6.73e+02;5.39e+07;1.67e+12;9.81e+02;6.92e+07;1.46e+12;1.28e+03;8.25e+07
3.96e+12;1.73e+02;2.22e+07;3.30e+12;2.50e+02;2.91e+07;2.89e+12;3.25e+02;3.51e+07;2.40e+12;4.71e+02;4.54e+07;2.11e+12;6.11e+02;5.44e+07;1.75e+12;8.83e+02;6.99e+07;1.54e+12;1.15e+03;8.33e+07
4.08e+12;1.61e+02;2.24e+07;3.41e+12;2.32e+02;2.94e+07;3.00e+12;3.00e+02;3.54e+07;2.50e+12;4.30e+02;4.59e+07;2.20e+12;5.55e+02;5.49e+07;1.84e+12;7.95e+02;7.06e+07;1.62e+12;1.03e+03;8.42e+07
4.20e+12;1.51e+02;2.26e+07;3.52e+12;2.15e+02;2.96e+07;3.11e+12;2.76e+02;3.57e+07;2.61e+12;3.92e+02;4.63e+07;2.30e+12;5.04e+02;5.55e+07;1.93e+12;7.16e+02;7.13e+07;1.70e+12;9.18e+02;8.50e+07
4.33e+12;1.41e+02;2.28e+07;3.65e+12;1.99e+02;2.99e+07;3.23e+12;2.54e+02;3.61e+07;2.72e+12;3.58e+02;4.67e+07;2.40e+12;4.57e+02;5.60e+07;2.02e+12;6.44e+02;7.20e+07;1.79e+12;8.22e+02;8.58e+07
4.46e+12;1.32e+02;2.30e+07;3.77e+12;1.84e+02;3.02e+07;3.35e+12;2.34e+02;3.64e+07;2.83e+12;3.27e+02;4.72e+07;2.51e+12;4.15e+02;5.65e+07;2.12e+12;5.80e+02;7.27e+07;1.88e+12;7.36e+02;8.66e+07
4.59e+12;1.23e+02;2.32e+07;3.90e+12;1.71e+02;3.05e+07;3.47e+12;2.16e+02;3.67e+07;2.95e+12;2.99e+02;4.76e+07;2.62e+12;3.77e+02;5.70e+07;2.23e+12;5.23e+02;7.33e+07;1.98e+12;6.59e+02;8.74e+07
4.73e+12;1.15e+02;2.34e+07;4.03e+12;1.58e+02;3.07e+07;3.60e+12;1.99e+02;3.71e+07;3.07e+12;2.73e+02;4.80e+07;2.74e+12;3.43e+02;5.76e+07;2.34e+12;4.71e+02;7.40e+07;2.09e+12;5.91e+02;8.82e+07
4.87e+12;1.07e+02;2.36e+07;4.17e+12;1.47e+02;3.10e+07;3.73e+12;1.83e+02;3.74e+07;3.20e+12;2.50e+02;4.85e+07;2.86e+12;3.11e+02;5.81e+07;2.45e+12;4.25e+02;7.46e+07;2.19e+12;5.29e+02;8.90e+07
5.02e+12;1.00e+02;2.38e+07;4.31e+12;1.36e+02;3.13e+07;3.87e+12;1.69e+02;3.77e+07;3.33e+12;2.28e+02;4.89e+07;2.99e+12;2.83e+02;5.86e+07;2.57e+12;3.83e+02;7.53e+07;2.31e+12;4.74e+02;8.97e+07
5.17e+12;9.38e+01;2.40e+07;4.46e+12;1.26e+02;3.15e+07;4.02e+12;1.55e+02;3.80e+07;3.47e+12;2.09e+02;4.93e+07;3.12e+12;2.57e+02;5.91e+07;2.69e+12;3.45e+02;7.59e+07;2.43e+12;4.25e+02;9.05e+07
5.32e+12;8.77e+01;2.42e+07;4.61e+12;1.17e+02;3.18e+07;4.17e+12;1.43e+02;3.84e+07;3.61e+12;1.91e+02;4.97e+07;3.26e+12;2.34e+02;5.96e+07;2.83e+12;3.11e+02;7.66e+07;2.55e+12;3.81e+02;9.13e+07
